"layer","value","count","hectares","percent"
1,"Healthy forest",70789,707.89,63.391242052476
1,"NDVI only (uncertain)",1070,10.7,0.958180352825289
1,"CHM only (uncertain)",33929,339.29,30.3832721411301
1,"Confirmed disturbance",5882,58.82,5.26730545356855
